"Auto Correct Onsite Search - Phrase (eVar) (evar103)","Onsite Search - Phrase without Campaign (eVar) (evar89)","Auto Correct Onsite Search - Phrase (eVar) Instance (Instance of evar103)"
"(boden leisten)\\ oxyd","bodenleisten oxyd",2
"(boden leisten)\\ pvc","bodenleisten pvc",1
"(boden leisten)\\ su60","bodenleisten su60",1
"(boden leisten)\\ ubergang","bodenleisten übergang",1
"(boden leisten)\\ wand","bodenleisten band",11
"(boden leisten)\\ zubehör","bodenleisten zubehör",8
"(boden schleifmaschine)","bodenschleifmaschine",8
"(bodengleiche dusche)","bodengleichedusche",9
"(bohr aufsatz)\\ (akku bohrer)","bohraufsatz akkubohrer",1
"(bohr aufsatz)\\ 1200","bohraufsatz 12mm",3
"(bohr aufsatz)\\ 6\\ cm","bohraufsatz 6 cm",1
"(bohr aufsatz)\\ blech\\ 1005","bohraufsatz bosch 10cm",1
"(bohr aufsatz)\\ ixo","bohraufsatz ixo",1
"(bohr aufsatz)\\ rohre","bohraufsatz rührer",1
"(bohr aufsatz)\\ steckdose","bohraufsatz steckdise",1
"(bohr aufsatz)\\ steckdose","bohraufsatz steckdose",1
"(bohr hammer)\\ sds\\ max","bohrerhammer sds max",2
"(bohr hilfe)","bohrerhilfe",2
"(bohr hilfe)","bohrshilfe",1
"(bohr hilfe)\\ 15\\ rad","bohrhilfe 15 grad",1
"(bohr hilfe)\\ dübel","bohrhilfe dübel",1
"(bohr hilfe)\\ fliesen","bohrhilfe fliesen",1
"(bohr hilfe)\\ holz","bohrhilfe holz",1
"(bohrer set)","borereset",3
"(bohrhammer set)","bohrhammerset",2
"(bondex dauerschutzlasur)","bondexdauerschutzlasur",3
"(bonsai erde)","bonsaiterde",1
"(boots anker)\\ zubehör","bootsanker zubehör",1
"(boots lack)","bootsllacke",1
"(boots trailer)","bootstrailee",1
"(boots trailer)","bootstrailor",1
"(bosch akkuschrauber)","boschakkuschrauber",22
"(bosch akkuschrauber)\\ 14,4","boschakkoschrauber 14,4",1
